surface	token_sequence	canonical_relation	relation_components	initial_relation_token_offset	final_adp_token_offset	source	notes
under the lower corner of	under the lower corner of	under the lower corner of	under|the|lower|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.6943733796e-11; ngram_max_frequency=2.50139853275e-10; ngram_nonzero_years=9; ngram_years=2000-2019
under the lower edge of	under the lower edge of	under the lower edge of	under|the|lower|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.79778921246e-09; ngram_max_frequency=2.61244492705e-09; ngram_nonzero_years=20; ngram_years=2000-2019
under the lower half of	under the lower half of	under the lower half of	under|the|lower|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.17718110554e-10; ngram_max_frequency=6.19295448256e-10; ngram_nonzero_years=18; ngram_years=2000-2019
under the lower part of	under the lower part of	under the lower part of	under|the|lower|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.13569580303e-09; ngram_max_frequency=1.84782690538e-09; ngram_nonzero_years=20; ngram_years=2000-2019
under the lower side of	under the lower side of	under the lower side of	under|the|lower|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.626218913e-10; ngram_max_frequency=3.63274438309e-10; ngram_nonzero_years=19; ngram_years=2000-2019
under the margin of	under the margin of	under the margin of	under|the|margin|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.71102037764e-09; ngram_max_frequency=2.57318374941e-09; ngram_nonzero_years=20; ngram_years=2000-2019
under the middle of	under the middle of	under the middle of	under|the|middle|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=8.27544788945e-09; ngram_max_frequency=1.07234559565e-08; ngram_nonzero_years=20; ngram_years=2000-2019
under the near edge of	under the near edge of	under the near edge of	under|the|near|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.42755221375e-11; ngram_max_frequency=1.91154508888e-10; ngram_nonzero_years=11; ngram_years=2000-2019
under the near end of	under the near end of	under the near end of	under|the|near|end|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=6.35241338698e-11; ngram_max_frequency=1.95924124147e-10; ngram_nonzero_years=12; ngram_years=2000-2019
under the near side of	under the near side of	under the near side of	under|the|near|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=9.37205391419e-11; ngram_max_frequency=4.04494632233e-10; ngram_nonzero_years=15; ngram_years=2000-2019
